p1_meta,p1_version,p1_method,p1_pheno,p1_cluster,p2_pheno,rg,se,ci,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
antidep,2501,fixed,N06AA,EUR,ASD,0.0086,0.0641,"(-0.117, 0.134)",0.1348,0.8928,0.1841,0.0168,1.0228,0.0109,5e-4,0.0073
antidep,2501,fixed,N06AA,EUR,BIP,0.1418,0.0432,"(0.057, 0.226)",3.2853,0.001,0.1649,0.0084,1.1037,0.014,0.0116,0.008
antidep,2501,fixed,N06AA,EUR,CAD,0.2867,0.0358,"(0.217, 0.357)",8.0107,1.1407e-15,0.1058,0.008,1.0423,0.0172,0.0281,0.0067
antidep,2501,fixed,N06AA,EUR,CRP,0.1829,0.0452,"(0.094, 0.271)",4.0432,5.2729e-5,0.1143,0.0218,1.0443,0.047,0.002,0.0066
antidep,2501,fixed,N06AA,EUR,MDD,0.7559,0.0326,"(0.692, 0.82)",23.1851,6.441599999999999e-119,0.0495,0.0019,1.1184,0.0201,0.1048,0.0088
antidep,2501,fixed,N06AA,EUR,MDDClin,0.5257,0.0654,"(0.398, 0.654)",8.0384,9.1033e-16,0.0849,0.0098,1.0219,0.0084,0.0234,0.0062
antidep,2501,fixed,N06AA,EUR,MDDEHR,0.7738,0.0368,"(0.702, 0.846)",21.0022,6.2649e-98,0.0446,0.0019,1.0965,0.0168,0.021,0.0086
antidep,2501,fixed,N06AA,EUR,MDDHelp,0.6212,0.0381,"(0.547, 0.696)",16.2918,1.1286999999999998e-59,0.0629,0.0033,1.0327,0.0103,0.1075,0.0068
antidep,2501,fixed,N06AA,EUR,MDDQuest,0.6715,0.0372,"(0.599, 0.744)",18.0582,6.8014e-73,0.0659,0.0036,1.033,0.0102,0.1819,0.006
antidep,2501,fixed,N06AA,EUR,Neu,0.5283,0.0334,"(0.463, 0.594)",15.8274,2.0136e-56,0.0995,0.0038,1.0662,0.0133,0.085,0.0069
antidep,2501,fixed,N06AA,EUR,Pain,0.9467,0.062,"(0.825, 1.068)",15.2756,1.1115e-52,0.0811,0.0072,1.0078,0.0078,0.0636,0.0057
antidep,2501,fixed,N06AA,EUR,PTSD,0.6387,0.092,"(0.458, 0.819)",6.946,3.7586e-12,0.0191,0.0034,1.0252,0.0071,0.0155,0.0053
antidep,2501,fixed,N06AA,EUR,SCZ,0.0475,0.0354,"(-0.022, 0.117)",1.3419,0.1796,0.391,0.0186,1.1317,0.0218,0.0066,0.0083
antidep,2501,fixed,N06AA,EUR,Smoking,0.3027,0.0445,"(0.215, 0.39)",6.7972,1.0668e-11,0.071,0.0096,0.9647,0.0188,0.0174,0.0062
antidep,2501,fixed,N06AA,EUR,T2D,0.2677,0.0296,"(0.21, 0.326)",9.0472,1.4668000000000002e-19,0.1598,0.0101,1.0848,0.048,0.023,0.0072
antidep,2501,fixed,N06AB,EUR,ADHD,0.545,0.0469,"(0.453, 0.637)",11.6232,3.1428e-31,0.2343,0.0178,1.0674,0.011,0.0112,0.0067
