method,pheno,meta_cluster,cohort,cohort_cluster,cases,controls,neff,version,metaset
mrmega,N06A,DIV,UKB,SAS,1479,3548,4175.446190570917,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06AA,DIV,AllOfUs,AFR,3706,42066,13623.752162894349,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,AllOfUs,AMR,2305,33847,8632.145939367118,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,AllOfUs,EAS,140,4086,541.4481779460483,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,AllOfUs,EUR,10602,106054,38553.85091208339,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,AllOfUs,SAS,111,2450,424.7559547051933,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,GenScot,EUR,4545,14576,13858.672663563622,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,UKB,AFR,521,2211,1686.5754026354318,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,UKB,EUR,35970,175211,119373.23281924037,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,UKB,MID,113,419,355.9924812030075,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,UKB,SAS,1067,3949,3360.1140350877195,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AB,DIV,AllOfUs,AFR,7919,37853,26195.74473477235,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,AllOfUs,AMR,5203,30949,17816.734565169285,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,AllOfUs,EAS,431,3795,1548.173213440606,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,AllOfUs,EUR,28643,88013,86440.69260046633,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,AllOfUs,MID,114,758,396.38532110091745,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,AllOfUs,SAS,330,2231,1149.9101913315112,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,GenScot,EUR,4845,14276,14469.372940745778,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,UKB,AFR,357,2375,1241.398243045388,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,UKB,EUR,32274,178907,109366.74261415564,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,UKB,MID,88,444,293.77443609022555,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,UKB,SAS,730,4286,2495.039872408294,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
